"company_overseas_infrastructure_id","company_id","infrastructure_type_id","secondary_infrastructure_type_id","country_id","city","overseas_infrastructure_lat","overseas_infrastructure_lng","label","year_commenced","Primary topic","Secondary (if needed)","text","cable_id","highlight","(data centre) type","street address","source","year","type_of_company_id_ref","ownership_structure_id_ref","cable_countries","Third topic","","","Do Not Touch - For Country Counts","Infrastructure 1","Infrastructure 2","Topic 1","Topic 2","Topic 3","Company","","Cable","Terrestrial","Leased"
"189","1 | Huawei","6 | Manufacturing facility","1 | R&D lab","74 | United Kingdom","Cambridge","52.20546","0.12188","Planned chip research & development factory","2019","","","<p>On 4&nbsp;May 2019 <a href=""https://www.ft.com/content/26b6d24e-6d77-11e9-a9a5-351eeaef6d84"">The Financial Times</a>&nbsp;(FT) reported that Huawei is planning to build a ""400-person chip research and development factory"" outside Cambridge. Planned to be operational by 2021, the factory will include an R&amp;D centre and will be built on a 550-acre site reportedly purchased by Huawei in 2018 for 37.5 million pounds. A Huawei spokesperson quoted in this FT article cited Huawei's long-term collaboration with Cambridge University which includes a 5-year 25 million pound research partnership with BT which launched a joint research group at the University of Cambridge. Read more about that partnership on this map <a href=""https://chinatechmap.aspi.org.au/#/map/marker-1024"">here</a>.</p>
<p>Chinese state media later <a href=""https://web.archive.org/web/20190505143025/https://www.chinadaily.com.cn/a/201905/05/WS5ccecddfa3104842260b9df9.html"">reported that</a> Huawei's expansion in Cambridge 'is part of a five-year 3 billion pound investment plan for the UK that [Huawei] announced alongside [now former]&nbsp;British Prime Minister Theresa May in February last year [2018].</p>","","TRUE","","","","","1 | Telecommunications","6 | Private company","","","","","","6 | Manufacturing facility74 | United Kingdom","1 | R&D lab74 | United Kingdom","74 | United Kingdom","74 | United Kingdom","74 | United Kingdom","1 | Huawei74 | United Kingdom","","","",""
"358","1 | Huawei","11 | Smart City-Public Security project","","54 | Germany","Gelsenkirchen","51.51000","7.08000","Gelsenkirchen Smart City Project","2019","2 | Smart cities","6 | Surveillance","<p>""The City of Gelsenkirchen and Huawei Technologies have agreed to partner on the development of a Smart City platform to deliver government services to citizens, tourists and businesses...The first step has been the creation of an OpenAir Innovation Lab."" <a href=""http://web.archive.org/web/20191016011530/https://www.huawei.com/en/press-events/news/2019/2/huawei-gelsenkirchen-smart-city-cooperation-mou"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","11 | Smart City-Public Security project54 | Germany","54 | Germany","2 | Smart cities54 | Germany","6 | Surveillance54 | Germany","54 | Germany","1 | Huawei54 | Germany","","","",""
"360","1 | Huawei","11 | Smart City-Public Security project","17 | MoU-agreement","136 | Monaco","Monaco","43.74000","7.41700","Monaco Telecom","2019","2 | Smart cities","3 | 5G","Huawei and Monaco Telecom have agreed to cooperate on 5G technologies, agreed to try to make Monaco the first country to be fully covered by 5G an signed an MoU on smart cities.

<p>In 2018 Monaco Telecom and Huawei <a href=""http://www.sohu.com/a/284733381_203761"">agreed</a> to cooperate on 5G technology. In February 2019 Monaco Telecom and Huawei <a href=""https://www.huawei.com/en/press-events/news/2019/2/monaco-telecom-huawei-out-mou-5g-nation"">signed a strategic agreement</a> on the Internet of Things, Big Data and the cloud. According to Huawei&rsquo;s website &ldquo;This new strategic partnership aims to accelerate deployment of &ldquo;Smart City&rdquo; services in the the Principality, in line with the &ldquo;5G Smart Nation&rdquo; project decided by Monaco.</p>

<p>In March 2019, Monaco Telecom and Huawei France signed a MoU on smart cities. The agreement sees Monaco Telecom able to use Huawei’s 5G and NB-IoT networks in Monaco the test Cloud platform in in Dusseldorf, Germany with the next step being to deploy a dedicated platform in Monaco itself. These two companies had months earlier in September 2018 signed a separate agreement to make Monaco the first country fully covered by the 5G."" </p><p><a href=""http://web.archive.org/web/20190313233434/https://www.theinternetofallthings.com/monaco-mou-with-huawei/"">Source</a></p>

","","TRUE","","","","","1 | Telecommunications","6 | Private company","","6 | Surveillance","","","","11 | Smart City-Public Security project136 | Monaco","17 | MoU-agreement136 | Monaco","2 | Smart cities136 | Monaco","3 | 5G136 | Monaco","6 | Surveillance136 | Monaco","1 | Huawei136 | Monaco","","","",""
"361","1 | Huawei","11 | Smart City-Public Security project","17 | MoU-agreement","62 | Egypt","Madinaty","30.09063","31.63534","TMG Holding (Talaat Moustafa Group)","2019","2 | Smart cities","6 | Surveillance","<p>Huawei to provide smart solutions in the security and privacy field to Egypt and the Middle East through an MoU signed with TMG Holding <a href=""http://web.archive.org/web/20190313233443/https://invest-gate.me/news/tmg-holding-inks-mou-with-huawei-for-smart-cities-services/"">Source</a></p>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","11 | Smart City-Public Security project62 | Egypt","17 | MoU-agreement62 | Egypt","2 | Smart cities62 | Egypt","6 | Surveillance62 | Egypt","62 | Egypt","1 | Huawei62 | Egypt","","","",""
"443","7 | China Unicom","13 | Cable Terrestrial","","","","","","","","","","<p>ERMC (Euro Russia Mongolia China) link is part of China Mobile's <a href = ""https://web.archive.org/web/20190626232927/https://www.cmi.chinamobile.com/sites/default/files/inline-images/ENG%20MAP.jpg"">""Global Network Capabilities""</a>.</p>

<p>It is also listed as part of China Unicom's <a href = ""http://web.archive.org/web/20190716032029/https://www.slideshare.net/AbhijitDatey/china-unicom-global-profile"">Europe to Asia Terrestrial Cable Systems</a>(slide 10). </p>

<p>Owner data from <a href = ""https://web.archive.org/web/20061231045129/http://www.transtk.ru/www/nsf/esite.nsf/docs/ermc.html"">here</a></p>","euro-russia-mongolia-china-ermc","FALSE","","","","","1 | Telecommunications","1 | State-owned enterprise","China,Mongolia,Russia,Finland,Sweden,Germany","","","","","13 | Cable Terrestrial","","","","","7 | China Unicom","","","euro-russia-mongolia-china-ermc",""
"444","7 | China Unicom","13 | Cable Terrestrial","","","","","","","","","","TEA2 is listed as one of eight of China Telecom's terrestrial cables according to a <a href = ""http://web.archive.org/web/20191011060301/https://image.slidesharecdn.com/chinatelecomamericas-generaloverview-september21-180315164945/95/china-telecom-americas-general-overview-8-638.jpg?cb=1521133069"">China Telecom Network Map from 2017</a>
<p>TEA-2 (Transit Europe-Asia) is an <a href = ""https://www.submarinenetworks.com/en/eurasia-terrestrial"">upgrade</a> to TEA. Rostelecom and China Telecom <a href = ""https://www.submarinenetworks.com/en/news/tea-upgrde-2011"">invested</a> in this upgrade. <p>More about TEA & TEA2 can be found in this <a href = ""http://www.hkcolo.com/hkconnect/2011/event/thankyou/pdf/Rostelecom_Irina.pdf"">Rostelecom</a> presentation.","transit-europe-asia-tea2","FALSE","","","","","1 | Telecommunications","1 | State-owned enterprise","China,Russia,Finland,Sweden","","","","","13 | Cable Terrestrial","","","","","7 | China Unicom","","","transit-europe-asia-tea2",""
"1070","1 | Huawei","3 | Research partnership","12 | 5G relationship","155 | Malaysia","","3.15827","101.71370","Maxis collaboration agreement","2019","3 | 5G","","In 2019 Huawei signed a collaboration agreement with Malaysian telecommunications company Maxis to develop and promote 5G technology in Malaysia <a href = ""https://sg.channelasia.tech/article/658555/maxis-collaborates-huawei-accelerate-5g-malaysia/"">Source</a>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","3 | Research partnership155 | Malaysia","12 | 5G relationship155 | Malaysia","3 | 5G155 | Malaysia","155 | Malaysia","155 | Malaysia","1 | Huawei155 | Malaysia","","","",""
"1079","1 | Huawei","7 | Investment or joint venture","","161 | Nigeria","","9.06877","7.43469","Digital Bridge Institute donation","2019","3 | 5G","","In 2019, Huawei donated USD1 million to Digital Bridge Institute, an organisation established by the Nigerai Communications Commission to offer training and promote research. https://punchng.com/huawei-donates-1m-ict-lab-to-nigeria/ ; 2019","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","7 | Investment or joint venture161 | Nigeria","161 | Nigeria","3 | 5G161 | Nigeria","161 | Nigeria","161 | Nigeria","1 | Huawei161 | Nigeria","","","",""
"1082","1 | Huawei","15 | Telecommunications or ICT","","68 | Fiji","","-18.13794","178.42422","Strategic partnership with Telecom Fiji","2019","","","<div>In April 2019 Telecom Fiji and Huawei signed a&nbsp;<a href=""https://www.radionz.co.nz/international/pacific-news/386739/telecom-fiji-partners-with-huawei-on-internet-network"">partnership</a>&nbsp;to roll out a new fibre internet network across the country (a 10GPON Passive Optic Network, the first of its kind in the South Pacific). In 2016, Huawei also&nbsp;<a href=""https://www.telecom.com.fj/about-us/newsroom/speeches/connect-4g-launch-ceos-speech/"">assisted Telecom Fiji</a>&nbsp;and played the role of 'technology partner' in&nbsp;the rollout of Fiji's '4G+' mobile network.&nbsp;Huawei first entered the Fiji market in 2002 and has strategic partnerships with&nbsp;<a href=""https://www.huawei.com/en/press-events/news/2015/07/hw_445737"">Telecom Fiji and Digicel</a>. In 2015 Prime Minister Frank Bainimarama&nbsp;<a href=""https://www.huawei.com/en/press-events/news/2015/07/hw_445737"">visited</a>&nbsp;Huawei's Beijing Research Center.</div>","","FALSE","","","","","1 | Telecommunications","6 | Private company","","","","","","15 | Telecommunications or ICT68 | Fiji","68 | Fiji","68 | Fiji","68 | Fiji","68 | Fiji","1 | Huawei68 | Fiji","","","",""
"1174","1 | Huawei","3 | Research partnership","","176 | Poland","Warsaw","52.25309","20.89958","Military University of Technology","2019","","","<p>In January 2019 Wang Weijing, a Huawei Poland executive and Piotry Durbajlo, a former senior Polish counterintelligence official, were <a href=""https://www.wsj.com/articles/polish-ex-security-official-charged-with-spying-for-china-during-government-service-11547575221"">detained and charged</a> with allegations of espionage. Mr Durbajlo was an <a href=""https://sinopsis.cz/en/arresting-huaweis-march-in-warsaw/"" target=""_blank"">instructor at</a> Warsaw's Military University of Technology. Graduates from this university often get sensitive security and military jobs. Mr Wang, who has since been fired from Huawei, <a href=""https://twitter.com/sinopsiscz/status/1083817570342526976"" target=""_blank"">visited</a> the Military University of Technology to discuss cooperation and to promote Huawei's Seeds for the Future university program <a href=""https://www.huawei.com/au/about-huawei/sustainability/win-win-development/social-contribution/seeds-for-the-future/poland"" target=""_blank"">in Poland</a> which funds selected students to travel to China to visit Huawei's headquarters in Shenzhen and participate in ICT training. The investigation is <a href=""https://www.wsj.com/articles/spy-case-linked-to-china-raises-red-flags-for-poland-and-the-u-s-11548357192"">coordinating with the US.&nbsp;</a></p>

<p>In July 2019, it <a href=""https://www.cnbc.com/2019/07/05/reuters-america-ex-polish-security-official-in-spying-case-to-be-freed-on-bail--lawyer.html"">is reported</a> that Mr Durbajlo would be released on bail while Mr Wang would remain under temporary arrest for at least three months.</p>","","TRUE","","","","","1 | Telecommunications","6 | Private company","","","","","","3 | Research partnership176 | Poland","176 | Poland","176 | Poland","176 | Poland","176 | Poland","1 | Huawei176 | Poland","","","",""
